RollNumber,DSNumber,MainFieldCoverage,SubfieldCoverage,ExtraScan,MainFieldCount,SubfieldCount
Roll_No_71762233056,MileStone-2,100,100,125,22,241
Roll_No_71762233056,Milestone1,100,100,0,169,67600
